Timer Create Matching finished in 1905 microseconds
Hospital 221 is matched with student 482
Hospital 222 is matched with student 503
Hospital 223 is matched with student 255
Hospital 224 is matched with student 400
Hospital 225 is matched with student 410
Hospital 226 is matched with student 47
Hospital 227 is matched with student 199
Hospital 228 is matched with student 116
Hospital 229 is matched with student 331
Hospital 230 is matched with student 402
Hospital 231 is matched with student 171
Hospital 232 is matched with student 144
Hospital 233 is matched with student 384
Hospital 234 is matched with student 133
Hospital 235 is matched with student 282
Hospital 236 is matched with student 325
Hospital 237 is matched with student 365
Hospital 238 is matched with student 252
Hospital 239 is matched with student 69
Hospital 240 is matched with student 385
Hospital 241 is matched with student 392
Hospital 242 is matched with student 363
Hospital 243 is matched with student 479
Hospital 244 is matched with student 5
Hospital 245 is matched with student 398
Hospital 246 is matched with student 62
Hospital 247 is matched with student 35
Hospital 248 is matched with student 148
Hospital 249 is matched with student 310
Hospital 250 is matched with student 496
Hospital 251 is matched with student 315
Hospital 252 is matched with student 379
Hospital 253 is matched with student 126
Hospital 254 is matched with student 181
Hospital 255 is matched with student 361
Hospital 256 is matched with student 264
Hospital 257 is matched with student 184
Hospital 258 is matched with student 15
Hospital 259 is matched with student 6
Hospital 260 is matched with student 260
Hospital 261 is matched with student 152
Hospital 262 is matched with student 288
Hospital 263 is matched with student 251
Hospital 264 is matched with student 472
Hospital 265 is matched with student 29
Hospital 266 is matched with student 332
Hospital 267 is matched with student 72
Hospital 268 is matched with student 224
Hospital 269 is matched with student 217
Hospital 270 is matched with student 76
Hospital 271 is matched with student 26
Hospital 272 is matched with student 25
Hospital 273 is matched with student 421
Hospital 274 is matched with student 166
Hospital 275 is matched with student 64
Hospital 276 is matched with student 105
Hospital 277 is matched with student 203
Hospital 278 is matched with student 285
Hospital 279 is matched with student 194
Hospital 280 is matched with student 492
Hospital 281 is matched with student 483
Hospital 282 is matched with student 168
Hospital 283 is matched with student 459
Hospital 284 is matched with student 355
Hospital 285 is matched with student 373
Hospital 286 is matched with student 198
Hospital 287 is matched with student 12
Hospital 288 is matched with student 32
Hospital 289 is matched with student 304
Hospital 290 is matched with student 169
Hospital 291 is matched with student 512
Hospital 292 is matched with student 485
Hospital 293 is matched with student 471
Hospital 294 is matched with student 150
Hospital 295 is matched with student 305
Hospital 296 is matched with student 90
Hospital 297 is matched with student 494
Hospital 298 is matched with student 1
Hospital 299 is matched with student 430
Hospital 300 is matched with student 131
Hospital 301 is matched with student 460
Hospital 302 is matched with student 109
Hospital 303 is matched with student 162
Hospital 304 is matched with student 508
Hospital 305 is matched with student 190
Hospital 306 is matched with student 243
Hospital 307 is matched with student 484
Hospital 308 is matched with student 33
Hospital 309 is matched with student 441
Hospital 310 is matched with student 323
Hospital 311 is matched with student 504
Hospital 312 is matched with student 36
Hospital 313 is matched with student 205
Hospital 314 is matched with student 172
Hospital 315 is matched with student 338
Hospital 316 is matched with student 454
Hospital 317 is matched with student 491
Hospital 318 is matched with student 122
Hospital 319 is matched with student 91
Hospital 320 is matched with student 417
Hospital 321 is matched with student 238
Hospital 322 is matched with student 265
Hospital 323 is matched with student 132
Hospital 324 is matched with student 84
Hospital 325 is matched with student 302
Hospital 326 is matched with student 342
Hospital 327 is matched with student 505
Hospital 328 is matched with student 341
Hospital 329 is matched with student 239
Hospital 330 is matched with student 445
Hospital 331 is matched with student 254
Hospital 332 is matched with student 27
Hospital 333 is matched with student 208
Hospital 334 is matched with student 335
Hospital 335 is matched with student 286
Hospital 336 is matched with student 53
Hospital 337 is matched with student 38
Hospital 338 is matched with student 77
Hospital 339 is matched with student 393
Hospital 340 is matched with student 412
Hospital 341 is matched with student 45
Hospital 342 is matched with student 222
Hospital 343 is matched with student 438
Hospital 344 is matched with student 510
Hospital 345 is matched with student 2
Hospital 346 is matched with student 270
Hospital 347 is matched with student 347
Hospital 348 is matched with student 276
Hospital 349 is matched with student 298
Hospital 350 is matched with student 195
Hospital 351 is matched with student 440
Hospital 352 is matched with student 284
Hospital 353 is matched with student 176
Hospital 354 is matched with student 311
Hospital 355 is matched with student 383
Hospital 356 is matched with student 477
Hospital 357 is matched with student 206
Hospital 358 is matched with student 100
Hospital 359 is matched with student 179
Hospital 360 is matched with student 428
Hospital 361 is matched with student 462
Hospital 362 is matched with student 375
Hospital 363 is matched with student 219
Hospital 364 is matched with student 140
Hospital 365 is matched with student 65
Hospital 366 is matched with student 71
Hospital 367 is matched with student 167
Hospital 368 is matched with student 295
Hospital 369 is matched with student 474
Hospital 370 is matched with student 289
Hospital 371 is matched with student 419
Hospital 372 is matched with student 114
Hospital 373 is matched with student 316
Hospital 374 is matched with student 409
Hospital 375 is matched with student 216
Hospital 376 is matched with student 427
Hospital 377 is matched with student 433
Hospital 378 is matched with student 414
Hospital 379 is matched with student 434
Hospital 380 is matched with student 85
Hospital 381 is matched with student 506
Hospital 382 is matched with student 59
Hospital 383 is matched with student 24
Hospital 384 is matched with student 78
Hospital 385 is matched with student 457
Hospital 386 is matched with student 437
Hospital 387 is matched with student 442
Hospital 388 is matched with student 269
Hospital 389 is matched with student 262
Hospital 390 is matched with student 481
Hospital 391 is matched with student 215
Hospital 392 is matched with student 79
Hospital 393 is matched with student 291
Hospital 394 is matched with student 413
Hospital 395 is matched with student 137
Hospital 396 is matched with student 456
Hospital 397 is matched with student 278
Hospital 398 is matched with student 156
Hospital 399 is matched with student 319
Hospital 400 is matched with student 230
Hospital 401 is matched with student 366
Hospital 402 is matched with student 174
Hospital 403 is matched with student 297
Hospital 404 is matched with student 408
Hospital 405 is matched with student 43
Hospital 406 is matched with student 8
Hospital 407 is matched with student 127
Hospital 408 is matched with student 11
Hospital 409 is matched with student 301
Hospital 410 is matched with student 41
Hospital 411 is matched with student 411
Hospital 412 is matched with student 50
Hospital 413 is matched with student 283
Hospital 414 is matched with student 214
Hospital 415 is matched with student 280
Hospital 416 is matched with student 309
Hospital 417 is matched with student 51
Hospital 418 is matched with student 436
Hospital 419 is matched with student 326
Hospital 420 is matched with student 432
Hospital 421 is matched with student 406
Hospital 422 is matched with student 320
Hospital 423 is matched with student 337
Hospital 424 is matched with student 88
Hospital 425 is matched with student 349
Hospital 426 is matched with student 257
Hospital 427 is matched with student 141
Hospital 428 is matched with student 253
Hospital 429 is matched with student 221
Hospital 430 is matched with student 211
Hospital 431 is matched with student 92
Hospital 432 is matched with student 307
Hospital 433 is matched with student 339
Hospital 434 is matched with student 369
Hospital 435 is matched with student 314
Hospital 436 is matched with student 397
Hospital 437 is matched with student 229
Hospital 438 is matched with student 399
Hospital 439 is matched with student 487
Hospital 440 is matched with student 80
Hospital 441 is matched with student 98
Hospital 442 is matched with student 124
Hospital 443 is matched with student 452
Hospital 444 is matched with student 202
Hospital 445 is matched with student 67
Hospital 446 is matched with student 22
Hospital 447 is matched with student 225
Hospital 448 is matched with student 68
Hospital 449 is matched with student 415
Hospital 450 is matched with student 197
Hospital 451 is matched with student 458
Hospital 452 is matched with student 509
Hospital 453 is matched with student 422
Hospital 454 is matched with student 502
Hospital 455 is matched with student 63
Hospital 456 is matched with student 106
Hospital 457 is matched with student 130
Hospital 458 is matched with student 336
Hospital 459 is matched with student 357
Hospital 460 is matched with student 476
Hospital 461 is matched with student 395
Hospital 462 is matched with student 40
Hospital 463 is matched with student 425
Hospital 464 is matched with student 294
Hospital 465 is matched with student 209
Hospital 466 is matched with student 154
Hospital 467 is matched with student 451
Hospital 468 is matched with student 191
Hospital 469 is matched with student 175
Hospital 470 is matched with student 449
Hospital 471 is matched with student 61
Hospital 472 is matched with student 10
Hospital 473 is matched with student 52
Hospital 474 is matched with student 180
Hospital 475 is matched with student 246
Hospital 476 is matched with student 193
Hospital 477 is matched with student 235
Hospital 478 is matched with student 185
Hospital 479 is matched with student 497
Hospital 480 is matched with student 423
Hospital 481 is matched with student 96
Hospital 482 is matched with student 9
Hospital 483 is matched with student 290
Hospital 484 is matched with student 475
Hospital 485 is matched with student 142
Hospital 486 is matched with student 157
Hospital 487 is matched with student 143
Hospital 488 is matched with student 296
Hospital 489 is matched with student 145
Hospital 490 is matched with student 396
Hospital 491 is matched with student 75
Hospital 492 is matched with student 268
Hospital 493 is matched with student 266
Hospital 494 is matched with student 186
Hospital 495 is matched with student 155
Hospital 496 is matched with student 330
Hospital 497 is matched with student 387
Hospital 498 is matched with student 461
Hospital 499 is matched with student 228
Hospital 500 is matched with student 381
Hospital 501 is matched with student 49
Hospital 502 is matched with student 161
Hospital 503 is matched with student 333
Hospital 504 is matched with student 123
Hospital 505 is matched with student 470
Hospital 506 is matched with student 159
Hospital 507 is matched with student 34
Hospital 508 is matched with student 247
Hospital 509 is matched with student 403
Hospital 510 is matched with student 469
Hospital 511 is matched with student 463
Hospital 512 is matched with student 82
Timer Whole Program finished in 119083 microseconds
