Timer Create Matching finished in 1905 microseconds
Hospital 1 is matched with student 353
Hospital 2 is matched with student 7
Hospital 3 is matched with student 368
Hospital 4 is matched with student 317
Hospital 5 is matched with student 241
Hospital 6 is matched with student 394
Hospital 7 is matched with student 431
Hospital 8 is matched with student 245
Hospital 9 is matched with student 42
Hospital 10 is matched with student 293
Hospital 11 is matched with student 210
Hospital 12 is matched with student 334
Hospital 13 is matched with student 362
Hospital 14 is matched with student 102
Hospital 15 is matched with student 129
Hospital 16 is matched with student 60
Hospital 17 is matched with student 267
Hospital 18 is matched with student 446
Hospital 19 is matched with student 201
Hospital 20 is matched with student 121
Hospital 21 is matched with student 111
Hospital 22 is matched with student 261
Hospital 23 is matched with student 248
Hospital 24 is matched with student 153
Hospital 25 is matched with student 54
Hospital 26 is matched with student 39
Hospital 27 is matched with student 364
Hospital 28 is matched with student 147
Hospital 29 is matched with student 178
Hospital 30 is matched with student 300
Hospital 31 is matched with student 119
Hospital 32 is matched with student 81
Hospital 33 is matched with student 158
Hospital 34 is matched with student 183
Hospital 35 is matched with student 489
Hospital 36 is matched with student 401
Hospital 37 is matched with student 128
Hospital 38 is matched with student 94
Hospital 39 is matched with student 499
Hospital 40 is matched with student 259
Hospital 41 is matched with student 424
Hospital 42 is matched with student 57
Hospital 43 is matched with student 467
Hospital 44 is matched with student 56
Hospital 45 is matched with student 329
Hospital 46 is matched with student 233
Hospital 47 is matched with student 113
Hospital 48 is matched with student 488
Hospital 49 is matched with student 350
Hospital 50 is matched with student 110
Hospital 51 is matched with student 134
Hospital 52 is matched with student 112
Hospital 53 is matched with student 163
Hospital 54 is matched with student 204
Hospital 55 is matched with student 444
Hospital 56 is matched with student 16
Hospital 57 is matched with student 237
Hospital 58 is matched with student 447
Hospital 59 is matched with student 343
Hospital 60 is matched with student 439
Hospital 61 is matched with student 466
Hospital 62 is matched with student 435
Hospital 63 is matched with student 213
Hospital 64 is matched with student 340
Hospital 65 is matched with student 212
Hospital 66 is matched with student 407
Hospital 67 is matched with student 74
Hospital 68 is matched with student 420
Hospital 69 is matched with student 31
Hospital 70 is matched with student 58
Hospital 71 is matched with student 443
Hospital 72 is matched with student 165
Hospital 73 is matched with student 188
Hospital 74 is matched with student 263
Hospital 75 is matched with student 136
Hospital 76 is matched with student 426
Hospital 77 is matched with student 272
Hospital 78 is matched with student 23
Hospital 79 is matched with student 170
Hospital 80 is matched with student 372
Hospital 81 is matched with student 196
Hospital 82 is matched with student 370
Hospital 83 is matched with student 70
Hospital 84 is matched with student 478
Hospital 85 is matched with student 312
Hospital 86 is matched with student 391
Hospital 87 is matched with student 507
Hospital 88 is matched with student 455
Hospital 89 is matched with student 493
Hospital 90 is matched with student 418
Hospital 91 is matched with student 358
Hospital 92 is matched with student 328
Hospital 93 is matched with student 13
Hospital 94 is matched with student 151
Hospital 95 is matched with student 374
Hospital 96 is matched with student 244
Hospital 97 is matched with student 344
Hospital 98 is matched with student 279
Hospital 99 is matched with student 501
Hospital 100 is matched with student 138
Hospital 101 is matched with student 308
Hospital 102 is matched with student 135
Hospital 103 is matched with student 89
Hospital 104 is matched with student 327
Hospital 105 is matched with student 354
Hospital 106 is matched with student 146
Hospital 107 is matched with student 139
Hospital 108 is matched with student 83
Hospital 109 is matched with student 189
Hospital 110 is matched with student 500
Hospital 111 is matched with student 405
Hospital 112 is matched with student 192
Hospital 113 is matched with student 115
Hospital 114 is matched with student 271
Hospital 115 is matched with student 108
Hospital 116 is matched with student 274
Hospital 117 is matched with student 390
Hospital 118 is matched with student 346
Hospital 119 is matched with student 386
Hospital 120 is matched with student 292
Hospital 121 is matched with student 416
Hospital 122 is matched with student 511
Hospital 123 is matched with student 371
Hospital 124 is matched with student 498
Hospital 125 is matched with student 324
Hospital 126 is matched with student 125
Hospital 127 is matched with student 348
Hospital 128 is matched with student 19
Hospital 129 is matched with student 351
Hospital 130 is matched with student 223
Hospital 131 is matched with student 250
Hospital 132 is matched with student 3
Hospital 133 is matched with student 220
Hospital 134 is matched with student 231
Hospital 135 is matched with student 367
Hospital 136 is matched with student 480
Hospital 137 is matched with student 321
Hospital 138 is matched with student 380
Hospital 139 is matched with student 101
Hospital 140 is matched with student 232
Hospital 141 is matched with student 389
Hospital 142 is matched with student 118
Hospital 143 is matched with student 99
Hospital 144 is matched with student 258
Hospital 145 is matched with student 360
Hospital 146 is matched with student 429
Hospital 147 is matched with student 177
Hospital 148 is matched with student 20
Hospital 149 is matched with student 120
Hospital 150 is matched with student 287
Hospital 151 is matched with student 87
Hospital 152 is matched with student 234
Hospital 153 is matched with student 453
Hospital 154 is matched with student 93
Hospital 155 is matched with student 465
Hospital 156 is matched with student 318
Hospital 157 is matched with student 388
Hospital 158 is matched with student 464
Hospital 159 is matched with student 44
Hospital 160 is matched with student 356
Hospital 161 is matched with student 86
Hospital 162 is matched with student 306
Hospital 163 is matched with student 242
Hospital 164 is matched with student 359
Hospital 165 is matched with student 495
Hospital 166 is matched with student 95
Hospital 167 is matched with student 4
Hospital 168 is matched with student 173
Hospital 169 is matched with student 17
Hospital 170 is matched with student 273
Hospital 171 is matched with student 117
Hospital 172 is matched with student 378
Hospital 173 is matched with student 66
Hospital 174 is matched with student 97
Hospital 175 is matched with student 160
Hospital 176 is matched with student 226
Hospital 177 is matched with student 256
Hospital 178 is matched with student 322
Hospital 179 is matched with student 18
Hospital 180 is matched with student 303
Hospital 181 is matched with student 30
Hospital 182 is matched with student 352
Hospital 183 is matched with student 103
Hospital 184 is matched with student 187
Hospital 185 is matched with student 277
Hospital 186 is matched with student 299
Hospital 187 is matched with student 448
Hospital 188 is matched with student 490
Hospital 189 is matched with student 14
Hospital 190 is matched with student 376
Hospital 191 is matched with student 227
Hospital 192 is matched with student 207
Hospital 193 is matched with student 450
Hospital 194 is matched with student 275
Hospital 195 is matched with student 182
Hospital 196 is matched with student 468
Hospital 197 is matched with student 107
Hospital 198 is matched with student 236
Hospital 199 is matched with student 382
Hospital 200 is matched with student 48
Hospital 201 is matched with student 377
Hospital 202 is matched with student 28
Hospital 203 is matched with student 55
Hospital 204 is matched with student 249
Hospital 205 is matched with student 404
Hospital 206 is matched with student 313
Hospital 207 is matched with student 218
Hospital 208 is matched with student 240
Hospital 209 is matched with student 164
Hospital 210 is matched with student 21
Hospital 211 is matched with student 73
Hospital 212 is matched with student 486
Hospital 213 is matched with student 281
Hospital 214 is matched with student 149
Hospital 215 is matched with student 345
Hospital 216 is matched with student 473
Hospital 217 is matched with student 200
Hospital 218 is matched with student 37
Hospital 219 is matched with student 46
Hospital 220 is matched with student 104
