Timer Create Matching finished in 808 microseconds
Hospital 219 is matched with student 100
Hospital 220 is matched with student 1
Hospital 221 is matched with student 169
Hospital 222 is matched with student 207
Hospital 223 is matched with student 126
Hospital 224 is matched with student 32
Hospital 225 is matched with student 145
Hospital 226 is matched with student 195
Hospital 227 is matched with student 202
Hospital 228 is matched with student 215
Hospital 229 is matched with student 8
Hospital 230 is matched with student 253
Hospital 231 is matched with student 244
Hospital 232 is matched with student 152
Hospital 233 is matched with student 44
Hospital 234 is matched with student 153
Hospital 235 is matched with student 55
Hospital 236 is matched with student 117
Hospital 237 is matched with student 139
Hospital 238 is matched with student 52
Hospital 239 is matched with student 73
Hospital 240 is matched with student 35
Hospital 241 is matched with student 241
Hospital 242 is matched with student 228
Hospital 243 is matched with student 111
Hospital 244 is matched with student 56
Hospital 245 is matched with student 93
Hospital 246 is matched with student 154
Hospital 247 is matched with student 102
Hospital 248 is matched with student 221
Hospital 249 is matched with student 68
Hospital 250 is matched with student 149
Hospital 251 is matched with student 81
Hospital 252 is matched with student 247
Hospital 253 is matched with student 23
Hospital 254 is matched with student 218
Hospital 255 is matched with student 210
Hospital 256 is matched with student 2
Timer Whole Program finished in 33444 microseconds
